REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Canadian and foreign direct investment,Countries or regions,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,1558,,,,0
2007,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,3608,,,,0
2008,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,4018,,,,0
2009,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,3797,,,,0
2010,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,6024,,,,0
2011,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,4092,,,,0
2012,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,3827,,,,0
2013,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,3377,,,,0
2014,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2566,,,,0
2015,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2657,,,,0
2016,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,3266,,,,0
2017,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,1557,,,,0
2018,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,1793,,,,0
2019,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,4420,,,,0
2020,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2386,,,,0
2021,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2453,,,,0
2022,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2888,,,,0
2023,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661148,1.14.1.1,2798,,,,0
1999,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,631,,,,0
2000,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,470,,,,0
2001,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,823,,,,0
2002,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1607,,,,0
2003,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1499,,,,0
2004,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1284,,,,0
2005,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1052,,,,0
2006,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1816,,,,0
2007,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1948,,,,0
2008,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1989,,,,0
2009,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1440,,,,0
2010,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,1270,,,,0
2011,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,,x,,,0
2012,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,533,,,,0
2013,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,335,,,,0
2014,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,375,,,,0
2015,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,425,,,,0
2016,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,144,,,,0
2017,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,182,,,,0
2018,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,5678,,,,0
2019,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,2665,,,,0
2020,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,2513,,,,0
2021,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,3389,,,,0
2022,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,3725,,,,0
2023,Canada,2016A000011124,"Agriculture,forestry, fishing and hunting [11]",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661154,1.14.2.1,3312,,,,0
1999,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,39623,,,,0
2000,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,43400,,,,0
2001,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,47210,,,,0
2002,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,56086,,,,0
2003,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,52794,,,,0
2004,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,63139,,,,0
2005,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,72163,,,,0
2006,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,86031,,,,0
2007,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,90304,,,,0
2008,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,111703,,,,0
2009,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,107005,,,,0
2010,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,122006,,,,0
2011,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,129682,,,,0
2012,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,143874,,,,0
